license,address,name,Localitat,Municipi,Estat,Inici activitat
ETVPL/12499,"Carrer DRAGONERA, 4 pis PB porta A. 07659 Cala Figuera, SANTANYÍ, Mallorca",VIVENDA SOL I PINS 3,Cala Figuera,SANTANYÍ,Alta,20/08/2018
ETVPL/12500,"Carrer DRAGONERA, 4 pis 2 porta 1. 07659 Cala Figuera, SANTANYÍ, Mallorca",VIVIENDA SOL I PINS 1,Cala Figuera,SANTANYÍ,Alta,20/08/2018
ETVPL/12501,"Carrer DRAGONERA, 4 pis 1 porta 3. 07659 Cala Figuera, SANTANYÍ, Mallorca",VIVENDA MARINA 3,Cala Figuera,SANTANYÍ,Alta,20/08/2018
ETVPL/12502,"Carrer DRAGONERA, 4 pis 1 porta 2. 07659 Cala Figuera, SANTANYÍ, Mallorca",VIVENDA MARINA 2,Cala Figuera,SANTANYÍ,Alta,20/08/2018
ETVPL/12503,"Carrer DRAGONERA, 4 pis 1 porta 1. 07659 Cala Figuera, SANTANYÍ, Mallorca",VIVENDA MARINA 1,Cala Figuera,SANTANYÍ,Alta,20/08/2018
ETVPL/12504,"Carrer NEPTÚ, 4 pis 1 porta B. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",NEPTUNO,Port DAlcúdia,ALCÚDIA,Alta,22/08/2018
ETVPL/12505,"Avinguda GOLF, 17 lletra B escala DCHA. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",SPLENDIDA HOUSE,Can Picafort,SANTA MARGALIDA,Alta,22/08/2018
ETVPL/12506,"Passeig LONDRES, 52 bloc 2 pis 2 porta D. 07470 Port De Pollença, POLLENÇA, Mallorca",TAMARELLS 12,Port De Pollença,POLLENÇA,Alta,21/08/2018
ETVPL/12507,"Passeig MARITIM, 30 pis 3. 07400 ALCÚDIA, Mallorca",ALCUDIAMAR,Port DAlcúdia,ALCÚDIA,Alta,22/08/2018
ETVPL/12508,"Carrer LLORENÇ VILLALONGA, 18 pis 1 porta A. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",LINA,Can Picafort,SANTA MARGALIDA,Alta,21/08/2018
ETVPL/12509,"Carrera DARTÀ, 1 pis 3 porta E. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",FIRST LINE,Port DAlcúdia,ALCÚDIA,Alta,22/08/2018
ETVPL/12510,"Carrer ISAAC PERAL, 92 pis 2. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",PACO MONTSE,Can Picafort,SANTA MARGALIDA,Alta,22/08/2018
ETVPL/12511,"Carrer Almirante Cervera, 4 pis 2 porta B. 07470 Port De Pollença, POLLENÇA, Mallorca",CASA PEÑA,Port De Pollença,POLLENÇA,Alta,21/08/2018
ETVPL/12516,"Passeig ANGLADA CAMARASA, 25 pis 2 porta B. 07470 Port De Pollença, POLLENÇA, Mallorca",SEAVIEW III,Port De Pollença,POLLENÇA,Alta,24/08/2018
ETVPL/12517,"Carrer ANGLADA CAMARASA, 25 pis 2 porta A. 07470 Port De Pollença, POLLENÇA, Mallorca",SEAVIEW II,Port De Pollença,POLLENÇA,Alta,24/08/2018
ETVPL/12518,"Passeig ANGLADA CAMARASA, 25 pis 3 porta A. 07470 Port De Pollença, POLLENÇA, Mallorca",SEAVIEW VI,Port De Pollença,POLLENÇA,Alta,24/08/2018
ETVPL/12520,"Carrer TORRENT DE CAN BOTANA, 38 escala 1 pis 1 porta 5. 07469 Cala Sant Vicenç, POLLENÇA, Mallorca",CAN ANTONI,Cala Sant Vicenç,POLLENÇA,Alta,27/08/2018
ETVPL/12521,"Carrer NOGUER, 2 bloc B pis 1 porta A. 07470  POLLENÇA, Mallorca",OLOT LLENAIRE,,POLLENÇA,Alta,23/08/2018
ETVPL/12522,"Passeig SARALEGUI, 114 pis 2. 07470 POLLENÇA, Mallorca",SIMAR,Port De Pollença,POLLENÇA,Alta,24/08/2018
ETVPL/12524,"Passeig LONDRES, 52 bloc 2 pis 2 porta C. 07470 Port De Pollença, POLLENÇA, Mallorca",TAMARELLS 11,Port De Pollença,POLLENÇA,Alta,23/08/2018
ETVPL/12526,"Urbanització CALA CARBÓ, 13 pis 1 porta D. 07469 Cala Sant Vicenç, POLLENÇA, Mallorca",MIRADOR 1 D,Cala Sant Vicenç,POLLENÇA,Alta,27/08/2018
ETVPL/12528,"Carrer TALAIA, 2 escala 1 bloc C pis 1 porta C1. 07470 POLLENÇA, Mallorca",4EVER,Port De Pollença,POLLENÇA,Alta,23/08/2018
ETVPL/12530,"Carrer OLIVO, 1 pis 3 porta C. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",BOSTON,Can Picafort,SANTA MARGALIDA,Alta,27/08/2018
ETVPL/12531,"Carrer CANYES, 7 escala 1 pis 1 porta B. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",AL PUJOL,Port DAlcúdia,ALCÚDIA,Alta,27/08/2018
ETVPL/12535,"Passeig Maritim, 42 pis 2. 07400 ALCÚDIA, Mallorca",RECORD MARITIM 2,Alcúdia,ALCÚDIA,Alta,29/08/2018
ETVPL/12536,"Passeig Maritim, 42 pis 3. 07400 ALCÚDIA, Mallorca",RECORD MARITIMO 3,Alcúdia,ALCÚDIA,Alta,29/08/2018
ETVPL/12537,"Carrer Marina, 16 pis 2. 07108 Port (El), SÓLLER, Mallorca",CAS MARCH,Port (El),SÓLLER,Alta,29/08/2018
ETVPL/12538,"Carrer Bunyola, 2. 07108 Port (El), SÓLLER, Mallorca",CAS BELGA,Port (El),SÓLLER,Alta,29/08/2018
ETVPL/12539,"Passeig Maritim de Cala Millor, 24 pis 2 porta B. 07560 Cala Millor, SON SERVERA, Mallorca",TALAIOT CALA MILLOR,Cala Millor,SON SERVERA,Alta,29/08/2018
ETVPL/12544,"Carrer Betlem, 9 bloc 1 porta 3. 07639 Cala Pi, LLUCMAJOR, Mallorca",THE TORRENTS OBSERVER HOLIDAY HOME,Cala Pi,LLUCMAJOR,Alta,29/08/2018
ETVPL/12545,"Carrer METGE LLOPIS, 22 escala A pis 2 porta 3. 07470 POLLENÇA, Mallorca",RESIDENCIAL POLLENTIA MAR AT2,Port De Pollença,POLLENÇA,Alta,30/08/2018
ETVPL/12546,"Carrer METGE LLOPIS, 22 escala A pis 3 porta 3. 07470 POLLENÇA, Mallorca",RESIDENCIAL POLLENTIA MAR AT3,Port De Pollença,POLLENÇA,Alta,30/08/2018
ETVPL/12547,"Carrer NOGUER, 2 bloc A pis BAJOS porta A. 07470  POLLENÇA, Mallorca",EDIFICIO OLOT,,POLLENÇA,Alta,30/08/2018
ETVPL/12548,"Carrer DE LA ROCA, 29 pis 1. 07300 INCA, Mallorca",ROCA,Inca,INCA,Alta,31/08/2018
ETVPL/12549,"Carrer Bogota, 6 lletra A. 07400 ALCÚDIA, Mallorca",DELICIAS,Alcúdia,ALCÚDIA,Alta,29/08/2018
ETVPL/12550,"Passeig ANGLADA CAMARASA, 25 pis ÁTICO porta B. 07470 Port De Pollença, POLLENÇA, Mallorca",SEAVIEW V,Port De Pollença,POLLENÇA,Alta,03/09/2018
ETVPL/12551,"Passeig ANGLADA CAMARASA, 25 pis ÁTICO porta A. 07470 Port De Pollença, POLLENÇA, Mallorca",SEAVIEW IV,Port De Pollença,POLLENÇA,Alta,03/09/2018
ETVPL/12552,"Carrer PIUS XII, 54. 07300 INCA, Mallorca",CAN BUADES,Inca,INCA,Alta,28/08/2018
ETVPL/12554,"Carrer CAPITÀ BARCELÓ, 13 pis Àtic porta Esquerra. 07670 Portocolom, FELANITX, Mallorca",VARADERO,Portocolom,FELANITX,Alta,03/09/2018
ETVPL/12555,"Passeig Anglada Camarasa, 83. 07470 POLLENÇA, Mallorca",CA LADROGUER,Port De Pollença,POLLENÇA,Alta,31/08/2018
ETVPL/12557,"Passeig LONDRES , 28 pis 1 porta DCHA. 07470 Port De Pollença, POLLENÇA, Mallorca",LONDRES 28,Port De Pollença,POLLENÇA,Alta,28/08/2018
ETVPL/12558,"DE SON MORO, 38 escala 1 pis 1 porta C. -, -",BEXAN CALA MANDÍA,Cala Anguila-Cala Mendia,MANACOR,Alta,03/09/2018
ETVPL/12561,"Carrer TRAMUNTANA, 24 porta B. 07590 Cala Rajada, CAPDEPERA, Mallorca",CALA LLITERES 5,Cala Rajada,CAPDEPERA,Alta,31/08/2018
ETVPL/12564,"Carretera DE FORMENTOR, 88 pis 2 porta B. 07470 POLLENÇA, Mallorca",AURORA 3,Port De Pollença,POLLENÇA,Alta,31/08/2018
ETVPL/12567,"Carrer FONOLL MARÍ, 5 bloc 6 pis 2. 07590 Cala Rajada, CAPDEPERA, Mallorca",TRAMUNTANA 2,Cala Rajada,CAPDEPERA,Alta,04/09/2018
ETVPL/12568,"Carretera DARTA, 45 bloc 11. 07400 ALCÚDIA, Mallorca",BAHIA BLANCA,Port DAlcúdia,ALCÚDIA,Alta,04/09/2018
ETVPL/12569,"Carrer CADERNERA, 30 bloc 5. 07470 Port De Pollença, POLLENÇA, Mallorca",ATALAYA VIEWS,Port De Pollença,POLLENÇA,Alta,04/09/2018
ETVPL/12571,"Carrer ESGLESIA, 23 pis 2 porta G. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",PACO MONTSE,Can Picafort,SANTA MARGALIDA,Alta,04/09/2018
ETVPL/12573,"DELCANO, 42 pis 4 porta 10. -, -",VORAMAR,Port De Pollença,POLLENÇA,Alta,28/08/2018
ETVPL/12575,"Carrer CALA CARBO, 13 pis 6 porta IZQ. 07469 Cala Sant Vicenç, POLLENÇA, Mallorca",EL MIRADOR 6-I,Cala Sant Vicenç,POLLENÇA,Alta,05/09/2018
ETVPL/12577,"Carrer BÉLGICA , 77 porta 23. 07108 Port (El), SÓLLER, Mallorca",PUNTA DE SANT PERE,Port (El),SÓLLER,Alta,28/08/2018
ETVPL/12578,"Carrer CORB MARÍ, 9 pis 2 porta derecha. 07670 -, FELANITX, Mallorca",CARMEN Y RAFA,,FELANITX,Alta,07/09/2018
ETVPL/12579,"Plaça ESTEPES, 11 pis 1 porta C. 07560 Coma (La), SANT LLORENÇ DES CARDASSAR, Mallorca",ESTEPES,Coma (La),SANT LLORENÇ DES CARDASSAR,Alta,07/09/2018
ETVPL/12580,"Avinguda GOLF, 11 lletra C porta D. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",CAN BENNASAR,Can Picafort,SANTA MARGALIDA,Alta,07/09/2018
ETVPL/12582,"Passeig de Londres, 36 escala 1 pis 2 porta C. 07460 POLLENÇA, Mallorca",CAN SIVELLA 2C,Port De Pollença,POLLENÇA,Alta,06/09/2018
ETVPL/12583,"Carrer TEMPORAL, 16 pis 2 porta B. 07469 Cala Sant Vicenç, POLLENÇA, Mallorca",MAY,Cala Sant Vicenç,POLLENÇA,Alta,05/09/2018
ETVPL/12584,"Passeig de Londres, 36 escala 1 pis 2 porta D. 07460 Port De Pollença, POLLENÇA, Mallorca",CAN SIVELLA 2D,Port De Pollença,POLLENÇA,Alta,06/09/2018
ETVPL/12585,"Carrer METGE LLOPIS , 22 escala A pis 1 porta 3. 07470 POLLENÇA, Mallorca",RESIDENCIAL POLLENTIA MAR AT1,Port De Pollença,POLLENÇA,Alta,30/08/2018
ETVPL/12588,"Passeig VORA MAR, 33 lletra B. 07470 POLLENÇA, Mallorca",VORAMAR 33B,Port De Pollença,POLLENÇA,Alta,10/09/2018
ETVPL/12589,"Passeig ROMEU I JULIETA, 2 pis 1 porta 3. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca",APARTAMENTO PRIMERA LÍNEA DEL MAR,Colònia De Sant Jordi,SES SALINES,Alta,10/09/2018
ETVPL/12591,"Carrer MOLLET DE LALBUFERA , 8 lletra B. 07400 ALCÚDIA, Mallorca",ISLETA,Port DAlcúdia,ALCÚDIA,Alta,05/09/2018
ETVPL/12592,"Carrer NOGUER , 6 porta 18. 07400 ALCÚDIA, Mallorca",GRAN LLAC,Port DAlcúdia,ALCÚDIA,Alta,30/08/2018
ETVPL/12596,"Carrer TRAMUNTANA, 16 lletra C. 07590 Cala Rajada, CAPDEPERA, Mallorca",CALA LLITERES 4,Cala Rajada,CAPDEPERA,Alta,07/09/2018
ETVPL/12598,"Carrer Mariners, 13 pis 4 porta A. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",NOVI,Port DAlcúdia,ALCÚDIA,Alta,06/09/2018
ETVPL/12601,"Carrer Hospici, 24 pis 2 porta 2. 07200 FELANITX, Mallorca",CAN MANUEL,Felanitx,FELANITX,Alta,06/09/2018
ETVPL/12604,"Carrer Hospici, 24 pis 2 porta 1. 07200 FELANITX, Mallorca",CAN CLARET,Felanitx,FELANITX,Alta,06/09/2018
ETVPL/12610,"Carrer ALBERS, 9 lletra A escala A pis 2 porta A. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",ARENA,Port DAlcúdia,ALCÚDIA,Alta,07/09/2018
ETVPL/12611,"Carrer JOAN FRONTERA RIERA, 46 lletra C. 07459 Son Serra De Marina, SANTA MARGALIDA, Mallorca",CASA CALMA,Son Serra De Marina,SANTA MARGALIDA,Alta,11/09/2018
ETVPL/12613,"Carrer TORRE DE SON DURÍ, - bloc G porta 5. 07639 Ràpita (La), CAMPOS, Mallorca",BLAU MARI,Ràpita (La),CAMPOS,Alta,12/09/2018
ETVPL/12614,"Carrer ALBERS, 5 pis 2 porta C. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",SUNRISE,Port DAlcúdia,ALCÚDIA,Alta,07/09/2018
ETVPL/12615,"Avinguda PERE MAS I REUS, 29 escala 1 pis 6 porta A. 07400 ALCÚDIA, Mallorca",SIESTA 2,Port DAlcúdia,ALCÚDIA,Alta,12/09/2018
ETVPL/12616,"Carrer TARONGERS, 1-2 bloc 2 porta 8. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",VILLA PYP,Port DAlcúdia,ALCÚDIA,Alta,10/09/2018
ETVPL/12617,"Carrer GREGAL, 16 pis 1. 07108  SÓLLER, Mallorca",SANCORA,,SÓLLER,Alta,12/09/2018
ETVPL/12618,"Carretera ARTÀ, 118 escala 2 pis PB porta 4. 07400 ALCÚDIA, Mallorca",LLAC GRAN,Alcúdia,ALCÚDIA,Alta,12/09/2018
ETVPL/12619,"Carrer TEMPORAL, 41 lletra D pis Bajos. 07469 Cala Sant Vicenç, POLLENÇA, Mallorca",CARACOLA,Cala Sant Vicenç,POLLENÇA,Alta,10/09/2018
ETVPL/12621,"Carrer DE SA PLATJA, 20 pis 2 porta D. 07108  SÓLLER, Mallorca",APARTAMENTO ALBA,,SÓLLER,Alta,11/09/2018
ETVPL/12626,"Passeig PASEO DE LA PLAYA, 11 pis 2 porta A. 07108 Port (El), SÓLLER, Mallorca",BAHIA RELAX,Port (El),SÓLLER,Alta,13/09/2018
ETVPL/12627,"Passeig Saralegui, 122 pis 5 porta 1. 07470 POLLENÇA, Mallorca",APARTAMENT TANAMAR,Port De Pollença,POLLENÇA,Alta,13/09/2018
ETVPL/12628,"Carrer FAR, 15 pis 4 porta A. 07470 Port De Pollença, POLLENÇA, Mallorca",BONANZA 4A,Port De Pollença,POLLENÇA,Alta,13/09/2018
ETVPL/12629,"Carrer PESCADOR, 40 pis 1 porta B. 07470 POLLENÇA, Mallorca",APARTMENT RAFAEL,Port De Pollença,POLLENÇA,Alta,13/09/2018
ETVPL/12632,"Carrer TEODOR CANET, 7 pis 5 porta E. 07400 ALCÚDIA, Mallorca",BLUE ATTIC BEACH,Port DAlcúdia,ALCÚDIA,Alta,17/09/2018
ETVPL/12633,"Carrer SANT ANDREU, 13 pis BXS. porta A. 07590 Cala Rajada, CAPDEPERA, Mallorca",GARBALLÓ,Cala Rajada,CAPDEPERA,Alta,17/09/2018
ETVPL/12634,"Carrer SANT ANDREU, 13 pis BXS. porta B. 07590 Cala Rajada, CAPDEPERA, Mallorca",ULLASTRE,Cala Rajada,CAPDEPERA,Alta,17/09/2018
ETVPL/12635,"Carrer MENDEZ NUÑEZ, 19 pis 2 porta B. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",CAN ALEIX,Can Picafort,SANTA MARGALIDA,Alta,17/09/2018
ETVPL/12636,"Carrer VERGE DEL CARME, 41 pis 3 porta A. 07470 Port De Pollença, POLLENÇA, Mallorca",PIS CA NA MARINA,Port De Pollença,POLLENÇA,Alta,17/09/2018
ETVPL/12637,"Carrer VERGE DEL CARME, 41 pis 2 porta A. 07470 Port De Pollença, POLLENÇA, Mallorca",PIS CAN MARC,Port De Pollença,POLLENÇA,Alta,17/09/2018
ETVPL/12646,"Passeig VORA MAR, 31 pis 3. 07470 POLLENÇA, Mallorca",VORA MAR 31 3er,Port De Pollença,POLLENÇA,Alta,18/09/2018
ETVPL/12648,"Avinguda BISBE LLOMPART, 57 escala 1 pis 3 porta Izq.. 07300 INCA, Mallorca",CASA MARGARITA,Inca,INCA,Alta,17/09/2018
ETVPL/12649,"Carrer NA PELADA, 16 pis 2. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca",SES BAULES,Colònia De Sant Jordi,SES SALINES,Alta,19/09/2018
ETVPL/12650,"Carrer GERANIS, 5 pis 1 porta 3ª. 07400 ALCÚDIA, Mallorca",FANTASTIC,Port DAlcúdia,ALCÚDIA,Alta,19/09/2018
ETVPL/12654,"Carretera Artà, 2 escala 1 pis 4 porta 6. 07400 ALCÚDIA, Mallorca",SOL ALCUDIA 4-6,Port DAlcúdia,ALCÚDIA,Alta,18/09/2018
ETVPL/12660,"Carrer Acacies, 2 escala A pis 1 porta 2. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",CAN PERELLO,Port DAlcúdia,ALCÚDIA,Alta,14/09/2018
ETVPL/12661,"Carrer LLOTJA, 15 pis 4 porta 1ª. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca",ENJOYTHESEAINCOLONIA,Colònia De Sant Jordi,SES SALINES,Alta,18/09/2018
ETVPL/12663,"Carretera PALMA- PUERTO SÓLLER, 72 pis 1. 07108 SÓLLER, Mallorca",ES GLOP,Sóller,SÓLLER,Alta,08/08/2018
ETVPL/12667,"Passeig SARALEGUI, 46 pis 1. 07470 POLLENÇA, Mallorca",FAROLES 1º,Port De Pollença,POLLENÇA,Alta,18/09/2018
ETVPL/12668,"Carrer COLOMER, 8 pis BAIXOS porta A. 07470 Port De Pollença, POLLENÇA, Mallorca",VILA-NOVA,Port De Pollença,POLLENÇA,Alta,18/09/2018
ETVPL/12677,"Carrer MAR I ESTANY, 36 pis 7 porta 8. 07400 ALCÚDIA, Mallorca",VISTA PLAYA,Port DAlcúdia,ALCÚDIA,Alta,14/09/2018
ETVPL/12678,"Carrer MAR I ESTANY, 36 pis 6 porta 8. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",VISTA MAR,Port DAlcúdia,ALCÚDIA,Alta,14/09/2018
ETVPL/12679,"Carrer PESCADOR, 60 pis 1 porta A. 07470 POLLENÇA, Mallorca",LINDA,Port De Pollença,POLLENÇA,Alta,14/09/2018
ETVPL/12683,"Carrer MARINA, 57 pis 2 porta A. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca",ES TRENC,Colònia De Sant Jordi,SES SALINES,Alta,03/09/2018
ETVPL/12685,"Carrer GAMBANER, 3 lletra A. 07400 ALCÚDIA, Mallorca",CA NA CATI,Alcúdia,ALCÚDIA,Alta,14/09/2018
ETVPL/12686,"Carrer Del Rei, 103. 07300 INCA, Mallorca",SABATERA,Inca,INCA,Alta,14/09/2018
ETVPL/12687,"Carretera Arta, 7 escala A bloc Dali pis 2 porta 126. 07400 ALCÚDIA, Mallorca",CARABELA BLOQUE DALI 126,Port DAlcúdia,ALCÚDIA,Alta,24/09/2018
ETVPL/12688,"Carretera Arta, 7 escala B bloc Miro pis BJ porta 97. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",CARABELA MIRO 97,Port DAlcúdia,ALCÚDIA,Alta,24/09/2018
ETVPL/12689,"Carretera Arta, 7 escala A bloc Dali pis 2 porta 117. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",CARABELA DALI 117,Port DAlcúdia,ALCÚDIA,Alta,24/09/2018
ETVPL/12690,"Carrer CLAVELLS, 1 pis 1 porta D. 07400 ALCÚDIA, Mallorca",CLAVELLS 1 1ER D,Port DAlcúdia,ALCÚDIA,Alta,24/09/2018
ETVPL/12692,"Avinguda de America, 17 pis 1. 07590 Cala Rajada, CAPDEPERA, Mallorca",CAN POCOVI,Cala Rajada,CAPDEPERA,Alta,24/09/2018
ETVPL/12693,"Carrer Mendez Nuñez, 1 pis 1 porta B. 07470 POLLENÇA, Mallorca",PINE WALK,Port De Pollença,POLLENÇA,Alta,24/09/2018
ETVPL/12694,"Carrer CARAQUES, 8 lletra A. 07400 ALCÚDIA, Mallorca",LA MAISON,Port DAlcúdia,ALCÚDIA,Alta,17/08/2018
ETVPL/12696,"Carrer GARBALLONS , 3 pis 1 porta DRETA. 07400 ALCÚDIA, Mallorca",BON ESTAR,Port DAlcúdia,ALCÚDIA,Alta,21/09/2018
ETVPL/12697,"Passeig Moll, 3 pis 2. 07559 Cala Bona, SON SERVERA, Mallorca",MOLL 3,Cala Bona,SON SERVERA,Alta,24/09/2018
ETVPL/12698,"Carrer SOL, 24. 07529 ARIANY, Mallorca",CASA MAS CATALÀ,Ariany,ARIANY,Alta,25/09/2018
ETVPL/12699,"Passeig LONDRES, 30 pis BXS. porta ESQ.. 07470 POLLENÇA, Mallorca",TRES PINS,Port De Pollença,POLLENÇA,Alta,25/09/2018
ETVPL/12700,"FORMENTOR, 88 pis 1 porta B. -, -",AURORA 1,Formentor,POLLENÇA,Alta,27/09/2018
ETVPL/12701,"Passeig Londres, 28 pis 1 porta Izq. 07470 Port De Pollença, POLLENÇA, Mallorca",U MOLL,Port De Pollença,POLLENÇA,Alta,24/09/2018
ETVPL/12702,"Carrer COSTA I LLOBERA, 16 pis 1 porta A. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",SOL I PLATJA A CAN PICAFORT,Can Picafort,SANTA MARGALIDA,Alta,21/09/2018
ETVPL/12703,"Avinguda PARÍS, 23 pis PB porta 1. 07470 Port De Pollença, POLLENÇA, Mallorca",ENCINAS 1,Port De Pollença,POLLENÇA,Alta,26/09/2018
ETVPL/12704,"Passeig COLOM, 10 pis 1. 07458  SANTA MARGALIDA, Mallorca",CASA CATALINA MALLORCA 2,,SANTA MARGALIDA,Alta,26/09/2018
ETVPL/12705,"Lloc FORMENTOR, 39 pis 2 porta IZQ. 07470 Formentor, POLLENÇA, Mallorca",FORMENTOR 39,Formentor,POLLENÇA,Alta,27/09/2018
ETVPL/12707,"Carrer HAM, 5 escala 1 pis 1 porta B. 07470 Port De Pollença, POLLENÇA, Mallorca",CLIVIES 1B,Port De Pollença,POLLENÇA,Alta,26/09/2018
ETVPL/12708,"Carretera dArtà, 88 escala 1 pis 4 porta 14. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",KAROLINA ALCÚDIA,Port DAlcúdia,ALCÚDIA,Alta,26/09/2018
ETVPL/12709,"Carrer BUGUEMVÍL·LEA, 16 lletra A. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",SOCIAS,Port DAlcúdia,ALCÚDIA,Alta,25/09/2018
ETVPL/12710,"Carrer CANET DE ROSSELLÓ, 1 pis 1. 07400  ALCÚDIA, Mallorca",MARINA,,ALCÚDIA,Alta,27/09/2018
ETVPL/12711,"Carrer TEMPLE FIELDING, 5 pis 1. 07470 POLLENÇA, Mallorca",SEA ONE,Port De Pollença,POLLENÇA,Alta,26/09/2018
ETVPL/12713,"Carrer TEMPLE FIELDING, 5 pis 2. 07470 POLLENÇA, Mallorca",SEA TWO,Port De Pollença,POLLENÇA,Alta,26/09/2018
ETVPL/12714,"Urbanització Sa Vinyola. Sector 3-2, 3-2 bloc 3 porta 28. 07639 Ràpita (La), CAMPOS, Mallorca",CAN SUERTE,Ràpita (La),CAMPOS,Alta,19/09/2018
ETVPL/12715,"Carrer DES FAR, 21 pis 1 porta A. 07691 Portopetro, SANTANYÍ, Mallorca",PUNTA MITJANA PORTOPETRO,Portopetro,SANTANYÍ,Alta,28/09/2018
ETVPL/12716,"Carrer TEODOR CANET, 6 pis 4. 07400 ALCÚDIA, Mallorca",TOTYMAR,Port DAlcúdia,ALCÚDIA,Alta,25/09/2018
ETVPL/12718,"Carrer ESTANYS, 9 lletra A. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca",CASA COLONIA,Colònia De Sant Jordi,SES SALINES,Alta,27/09/2018
ETVPL/12720,"Carrer TEODOR CANET, 7 pis 3 porta F. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",BLUE PALM BEACH,Port DAlcúdia,ALCÚDIA,Alta,26/09/2018
ETVPL/12722,"Carrer AGRÓ, 2 pis BJS porta 15. 07400 Port DAlcúdia, ALCÚDIA, Mallorca",MAR DEL PLATA,Port DAlcúdia,ALCÚDIA,Alta,25/09/2018
ETVPL/12724,"Lloc FORMENTOR, 98 pis 1 porta C. 07470 Formentor, POLLENÇA, Mallorca",CORAL 3,Formentor,POLLENÇA,Alta,25/09/2018
ETVPL/12728,"Carrer ECONOM TORRES, 2 pis 2 porta A. 07470 POLLENÇA, Mallorca",MAINA1919,Port De Pollença,POLLENÇA,Alta,28/09/2018
ETVPL/12730,"Camí SA VINYOLA, SECTOR 3-2 bloc 4 porta 16. 07639 Ràpita (La), CAMPOS, Mallorca",EL PARAISO Nº16,Ràpita (La),CAMPOS,Alta,18/09/2018
